key	depth_1	frequency_1	depth_2	frequency_2
chr20:6403908-6403908	63	0.3492	12	0.4167
chr20:7580007-7580007	21	0.0000	19	0.0526
chr20:7378354-7378354	40	0.0000	21	0.1429
chr20:9140118-9140118	23	0.1304	16	0.1250
chr20:9015548-9015548	49	0.2449	15	0.1333
chr20:8235690-8235690	67	0.7463	20	0.8500
chr20:8865009-8865009	42	0.0476	14	0.0000
chr20:7877277-7877277	25	0.1600	10	0.6000
chr20:9629943-9629943	40	0.8750	16	1.0000
chr20:6333786-6333786	32	0.4062	14	0.2857
chr20:9224000-9224000	27	0.0000	12	0.0000
chr20:9312950-9312950	65	0.0000	20	0.0500
chr20:8662694-8662694	57	0.2982	16	0.4375
chr20:6714628-6714628	33	0.3636	17	0.4706
chr20:9027397-9027397	50	0.4600	8	0.5000
chr20:9906233-9906233	12	0.4167	15	0.3333
chr20:8494395-8494395	51	0.0000	9	0.3333
chr20:7034503-7034503	12	0.2500	12	0.0000
chr20:9049795-9049795	19	0.4211	18	0.3333
chr20:6708833-6708833	50	0.0000	16	0.1250
chr20:6355579-6355579	21	0.0476	11	0.1818
chr20:8302001-8302001	48	0.8958	19	1.0000
chr20:8112982-8112982	40	0.0250	19	0.1053
chr20:7568784-7568784	13	1.0000	18	0.8333
chr20:7778212-7778212	44	0.0455	20	0.1000
chr20:8634772-8634772	38	0.0263	18	0.1667
chr20:8583926-8583926	48	0.1042	7	0.2857
chr20:8888319-8888319	26	0.1154	13	0.3077
chr20:7940207-7940207	59	0.0847	15	0.2000
chr20:8504217-8504217	34	0.4118	11	0.4545
chr20:8954473-8954473	20	0.7000	13	0.6154
chr20:6890563-6890563	22	0.1364	17	0.2353
chr20:9358754-9358754	18	0.3333	14	0.2857
chr20:7683442-7683442	55	0.4000	21	0.2381
chr20:8737071-8737071	51	0.4314	11	0.5455
chr20:9640522-9640522	33	0.8485	16	1.0000
chr20:9006597-9006597	35	0.8286	12	0.5833
chr20:9069069-9069069	4	0.0000	10	0.0000
chr20:8428800-8428800	34	0.0000	24	0.3333
chr20:9283019-9283019	51	0.0000	17	0.0588
chr20:6043626-6043626	24	0.9583	13	1.0000
chr20:9013392-9013392	27	0.0370	7	0.0000
chr20:8835775-8835775	23	0.0000	15	0.0000
chr20:7099637-7099637	39	0.2821	10	0.5000
chr20:9476153-9476153	34	0.2353	17	0.3529
chr20:6769519-6769519	25	0.2400	25	0.2000
chr20:8858536-8858536	47	0.4043	9	0.1111
chr20:7597578-7597578	29	0.5517	16	0.3750
chr20:9558927-9558927	39	0.9487	20	0.8000
chr20:6285998-6285998	38	0.1579	16	0.0625
chr20:7657124-7657124	24	0.4167	19	0.1579
chr20:9240881-9240881	12	0.0000	13	0.0000
chr20:9030245-9030245	49	0.4898	14	0.5714
chr20:8850005-8850005	32	0.7500	10	0.4000
chr20:6750885-6750885	51	0.9020	11	1.0000
chr20:8359624-8359624	82	0.2927	22	0.2727
chr20:7174547-7174547	20	0.1000	18	0.1111
chr20:6120458-6120458	68	0.0147	23	0.0870
chr20:6186952-6186952	26	0.0000	15	0.1333
chr20:7468440-7468440	38	0.0000	11	0.0909
chr20:8107850-8107850	55	0.5091	11	0.9091
chr20:7996003-7996003	50	0.9000	25	0.9200
chr20:6949373-6949373	18	0.8889	26	0.7692
chr20:8302131-8302131	62	0.1613	20	0.4500
chr20:6684386-6684386	45	0.0222	18	0.0000
chr20:9195269-9195269	37	0.0000	19	0.0526
chr20:9190022-9190022	21	0.1905	13	0.2308
chr20:9700833-9700833	48	0.0000	31	0.0000
chr20:6210831-6210831	30	0.8333	18	0.5556
chr20:9501485-9501485	38	0.0000	11	0.0909
chr20:6818022-6818022	38	0.3684	17	0.1176
chr20:7205620-7205620	26	0.6538	16	0.3125
chr20:8900640-8900640	34	0.0588	15	0.1333
chr20:7433611-7433611	50	0.5800	12	0.5833
chr20:9957784-9957784	34	0.7353	18	0.6667
chr20:9459257-9459257	28	0.6071	20	0.6500
chr20:7098582-7098582	40	0.0500	10	0.3000
chr20:6787163-6787163	14	0.0000	17	0.0588
chr20:9177247-9177247	47	0.0213	22	0.1364
chr20:6883129-6883129	36	0.1389	11	0.0000
chr20:8249405-8249405	48	0.7708	14	0.7143
chr20:8958201-8958201	43	0.2093	14	0.5714
chr20:8041087-8041087	26	0.9615	22	0.8636
chr20:7252582-7252582	33	0.0000	12	0.1667
chr20:6475373-6475373	41	0.2927	14	0.4286
chr20:8114881-8114881	24	0.7500	9	0.7778
chr20:9534540-9534540	30	0.0333	18	0.0556
chr20:6760182-6760182	12	0.6667	15	0.8000
chr20:8985306-8985306	20	0.2500	11	0.2727
chr20:8082784-8082784	43	0.2791	7	0.1429
chr20:9301997-9301997	41	0.6829	8	0.3750
chr20:7907445-7907445	27	0.1481	14	0.4286
chr20:9891124-9891124	27	0.4074	8	0.6250
chr20:7920359-7920359	35	0.2286	12	0.0833
chr20:6111555-6111555	20	0.8500	8	0.3750
chr20:7015133-7015133	58	0.0000	22	0.0000
chr20:7528552-7528552	11	0.0909	14	0.0000
chr20:9685424-9685424	31	0.0000	16	0.0000
chr20:7067157-7067157	48	0.0000	19	0.1053
chr20:8863220-8863220	40	0.0250	9	0.0000
chr20:8712097-8712097	26	0.1154	19	0.1579
chr20:9482527-9482527	44	0.0000	20	0.2500
chr20:9802434-9802434	29	0.6897	18	0.6667
chr20:7112591-7112591	44	0.0000	16	0.0000
chr20:8664913-8664913	30	0.4333	12	0.4167
chr20:7048028-7048028	22	0.1818	20	0.0500
chr20:8238727-8238727	37	0.6216	21	0.3810
chr20:6662154-6662154	37	0.0541	20	0.1000
chr20:8813556-8813556	45	0.4222	16	0.5000
chr20:9692337-9692337	57	0.2281	13	0.3077
chr20:6707546-6707546	29	0.0000	15	0.0667
chr20:9561096-9561096	59	0.0169	17	0.0000
chr20:8915082-8915082	32	0.4062	13	0.3077
chr20:9536601-9536601	40	0.4250	21	0.6190
chr20:8813043-8813043	20	0.0000	21	0.1905
chr20:6612729-6612729	39	0.0769	16	0.1250
chr20:6512539-6512539	46	0.0000	19	0.0526
chr20:9926176-9926176	29	0.0690	16	0.0625
chr20:8459804-8459804	52	0.8269	16	0.8750
chr20:6421533-6421533	42	0.0000	25	0.0400
chr20:6017991-6017991	33	0.8788	16	0.9375
chr20:9642254-9642254	25	0.0000	10	0.0000
chr20:8907701-8907701	46	0.4130	11	0.4545
chr20:6473702-6473702	39	0.2821	15	0.4000
chr20:8666470-8666470	41	0.2927	16	0.5000
chr20:8672740-8672740	48	0.0417	18	0.0000
chr20:7133360-7133360	47	0.0638	22	0.0909
chr20:8427129-8427129	16	0.9375	23	0.8261
chr20:6972190-6972190	28	0.5357	17	0.5882
chr20:9399024-9399024	43	0.1860	21	0.1429
chr20:7313182-7313182	58	0.2931	8	0.5000
chr20:9120333-9120333	12	0.0000	12	0.0833
chr20:9450740-9450740	3	1.0000	4	0.5000
chr20:8793593-8793593	27	0.6667	13	1.0000
chr20:9991291-9991291	11	0.2727	9	0.2222
chr20:7507869-7507869	25	0.2400	8	0.3750
chr20:6714816-6714816	19	0.2632	18	0.4444
chr20:9539449-9539449	18	0.0000	15	0.0667
chr20:6239877-6239877	26	0.5000	11	0.4545
chr20:8681954-8681954	60	0.0000	14	0.0714
chr20:6226801-6226801	74	0.7568	22	0.4545
chr20:9402242-9402242	44	0.2727	15	0.4000
chr20:9540836-9540836	10	0.0000	17	0.0588
chr20:7002637-7002637	41	0.0244	16	0.1875
chr20:9094845-9094845	37	0.0541	11	0.2727
chr20:9756540-9756540	45	0.7778	18	0.7778
chr20:7642224-7642224	8	0.0000	20	0.1500
chr20:8147934-8147934	13	0.9231	11	0.3636
chr20:6770543-6770543	26	0.1923	19	0.4737
chr20:7378748-7378748	48	0.0833	14	0.1429
chr20:8739876-8739876	29	0.5862	11	0.6364
chr20:7725182-7725182	2	0.5000	12	0.5000
chr20:6811499-6811499	48	0.0208	17	0.1176
chr20:8022219-8022219	17	0.9412	15	0.8000
chr20:8845425-8845425	43	0.4419	17	0.0588
chr20:7964483-7964483	52	0.7885	18	0.7222
chr20:9541377-9541377	25	0.0000	17	0.0000
chr20:6959020-6959020	35	0.3429	26	0.1923
chr20:9756489-9756489	42	0.5714	15	0.6000
chr20:8918095-8918095	55	0.1636	11	0.1818
chr20:8477743-8477743	28	0.8571	12	0.8333
chr20:6010970-6010970	13	1.0000	21	0.8095
chr20:8878350-8878350	14	0.0000	13	0.5385
chr20:9407575-9407575	21	0.5238	17	0.3529
chr20:9322566-9322566	51	0.2549	12	0.1667
chr20:8964633-8964633	27	0.1111	12	0.0000
chr20:9740675-9740675	35	0.0000	18	0.0000
chr20:7000072-7000072	30	0.4333	20	0.3000
chr20:9938548-9938548	41	0.8049	15	0.9333
chr20:9003378-9003378	15	0.3333	14	0.5714
chr20:8043256-8043256	68	0.2353	21	0.3333
chr20:7812592-7812592	20	0.0000	13	0.1538
chr20:8066448-8066448	65	0.0462	10	0.4000
chr20:6843439-6843439	44	0.0227	22	0.0455
chr20:6777691-6777691	49	0.0204	15	0.2000
chr20:8453125-8453125	42	0.5476	16	0.6250
chr20:8052423-8052423	25	0.2400	20	0.3500
chr20:7273701-7273701	12	0.3333	10	0.3000
chr20:7077984-7077984	65	0.0000	16	0.0625
chr20:9912171-9912171	33	0.1515	18	0.2222
chr20:8296320-8296320	48	0.5625	12	0.2500
chr20:8300284-8300284	36	0.9722	18	1.0000
chr20:7812285-7812285	41	0.0000	15	0.1333
chr20:7502865-7502865	34	0.2353	13	0.0769
chr20:9858324-9858324	35	0.5429	9	0.8889
chr20:7181140-7181140	47	0.6809	11	0.1818
chr20:8076976-8076976	51	0.0000	25	0.0000
chr20:6736983-6736983	39	0.7436	10	0.9000
chr20:7053899-7053899	51	0.0196	19	0.0526
chr20:6543789-6543789	28	0.7143	26	0.5385
chr20:6565973-6565973	48	0.5000	18	0.5000
chr20:7955622-7955622	42	0.0000	12	0.0833
chr20:8796461-8796461	46	0.7826	15	0.8667
chr20:8690657-8690657	27	0.9259	16	0.7500
chr20:9006403-9006403	33	0.9394	19	0.6842
chr20:7918522-7918522	31	0.0645	11	0.2727
chr20:7575690-7575690	45	0.0222	20	0.0000
chr20:9625457-9625457	61	0.5246	13	0.2308
chr20:6051249-6051249	26	0.7692	9	0.4444
chr20:9238055-9238055	35	0.1143	12	0.0833
chr20:8203010-8203010	20	0.3000	19	0.3684
chr20:7692340-7692340	47	0.3191	22	0.6818
chr20:8878587-8878587	47	0.0000	7	0.0000
chr20:6501808-6501808	13	0.0769	10	0.2000
chr20:9553667-9553667	40	0.0000	17	0.1176
chr20:7127983-7127983	37	0.1622	10	0.7000
chr20:7616860-7616860	54	0.2778	18	0.2222
chr20:6117621-6117621	31	0.3871	19	0.3158
chr20:6685369-6685369	28	0.0000	16	0.4375
chr20:8134638-8134638	36	0.8056	14	0.5714
chr20:8664301-8664301	54	0.3148	14	0.3571
chr20:6895920-6895920	43	0.0465	20	0.0000
chr20:8051766-8051766	52	0.0000	8	0.0000
chr20:8549662-8549662	23	0.2174	16	0.2500
chr20:7778725-7778725	70	0.0571	14	0.2143
chr20:9641648-9641648	9	0.3333	15	0.4000
chr20:8603358-8603358	45	0.1111	19	0.1579
chr20:8955669-8955669	16	0.2500	16	0.1250
chr20:8474083-8474083	45	0.0667	14	0.0000
chr20:8371607-8371607	36	0.3333	5	0.2000
chr20:8727513-8727513	39	0.1795	17	0.1176
chr20:9797431-9797431	17	0.4118	22	0.6364
chr20:8797240-8797240	42	0.0000	15	0.1333
chr20:7146622-7146622	19	0.8421	21	0.5238
chr20:8366239-8366239	40	0.5250	18	0.7778
chr20:7721781-7721781	32	0.0000	18	0.0000
chr20:8214073-8214073	53	0.2642	15	0.1333
chr20:7787025-7787025	28	0.2143	15	0.2667
chr20:8127143-8127143	32	0.4688	21	0.4286
chr20:7316963-7316963	45	0.3111	8	0.6250
chr20:8655644-8655644	37	0.0541	21	0.0000
chr20:7935175-7935175	55	0.4364	24	0.4167
chr20:7853100-7853100	45	0.2889	20	0.3000
chr20:7001665-7001665	11	0.0000	26	0.1923
chr20:9370008-9370008	36	0.5833	16	0.5000
chr20:7390214-7390214	32	0.7500	21	0.8095
chr20:7334157-7334157	36	0.2222	12	0.1667
chr20:9433034-9433034	39	0.0513	17	0.0588
chr20:7319473-7319473	30	0.2667	16	0.2500
chr20:9204503-9204503	27	0.0741	25	0.2000
chr20:9209535-9209535	29	0.1724	11	0.3636
chr20:9313544-9313544	41	0.0244	11	0.0909
chr20:6070391-6070391	19	0.7895	14	0.4286
chr20:6768513-6768513	8	0.0000	26	0.0385
chr20:8926803-8926803	17	0.4118	4	0.5000
chr20:9220566-9220566	40	0.8500	26	0.8846
chr20:9149531-9149531	59	0.0169	11	0.0000
chr20:9367930-9367930	51	0.6863	13	0.8462
chr20:8499316-8499316	38	0.7895	9	1.0000
chr20:9721112-9721112	37	0.3243	16	0.1875
chr20:7967568-7967568	24	0.3750	14	0.5000
chr20:7805035-7805035	48	0.5208	9	0.4444
chr20:9056222-9056222	35	0.7429	10	0.9000
chr20:9413454-9413454	14	0.5714	13	0.5385
chr20:6153032-6153032	22	0.0909	13	0.5385
chr20:8186570-8186570	44	0.2273	5	0.2000
chr20:7441742-7441742	41	0.8049	24	0.8333
chr20:8251873-8251873	43	0.0233	4	0.0000
chr20:6639060-6639060	21	0.0000	23	0.0870
chr20:7804196-7804196	46	0.6739	11	0.9091
chr20:9840492-9840492	51	0.0588	8	0.2500
chr20:7556226-7556226	33	0.3939	17	0.5294
chr20:8505309-8505309	27	0.4074	8	0.2500
chr20:6661968-6661968	32	0.0000	18	0.1667
chr20:6419489-6419489	34	0.0000	12	0.2500
chr20:8146274-8146274	35	0.8286	9	0.8889
chr20:9690227-9690227	54	0.0556	26	0.0385
chr20:7113437-7113437	24	0.0417	16	0.4375
chr20:6632057-6632057	69	0.9130	18	0.8333
chr20:6914079-6914079	30	0.0667	12	0.4167
chr20:6202936-6202936	48	0.0208	13	0.0000
chr20:6475974-6475974	76	0.3289	12	0.5833
chr20:6073953-6073953	34	0.8824	12	0.8333
chr20:6657293-6657293	14	0.7143	19	0.6316
chr20:8825486-8825486	38	0.7368	19	0.6316
chr20:9536982-9536982	32	0.0625	13	0.0000
chr20:8073873-8073873	46	0.6739	26	0.9231
chr20:7596444-7596444	37	0.1892	19	0.1053
chr20:9408242-9408242	38	0.0000	8	0.1250
chr20:8800702-8800702	30	0.7000	28	0.6429
chr20:9160112-9160112	37	0.0000	16	0.2500
chr20:7664949-7664949	46	0.0217	10	0.2000
chr20:8407536-8407536	29	0.9655	9	1.0000
chr20:9546648-9546648	33	0.1515	11	0.4545
chr20:7013735-7013735	31	0.0323	16	0.0000
chr20:8830569-8830569	62	0.0000	19	0.1579
chr20:6943239-6943239	21	0.0000	19	0.0526
chr20:6132240-6132240	22	0.3636	13	0.3077
chr20:8596942-8596942	12	0.0000	11	0.3636
chr20:9539970-9539970	51	0.0000	14	0.0714
chr20:9342635-9342635	20	0.2000	12	0.8333
chr20:8443283-8443283	24	0.1667	10	0.4000
chr20:8140633-8140633	48	0.3333	12	0.1667
chr20:9414411-9414411	23	0.0870	10	0.0000
chr20:9307141-9307141	18	0.0000	15	0.0667
chr20:8651722-8651722	31	0.1935	7	0.8571
chr20:8219670-8219670	42	0.3333	10	0.1000
chr20:9439077-9439077	36	0.9444	4	0.7500
chr20:6049391-6049391	33	0.5455	13	0.5385
chr20:6781403-6781403	57	0.6842	23	0.6957
chr20:8721890-8721890	24	0.6667	20	0.3000
chr20:9181500-9181500	42	0.1190	16	0.5625
chr20:9528586-9528586	46	0.4348	14	0.4286
chr20:8390254-8390254	33	1.0000	21	1.0000
chr20:8287928-8287928	54	0.6852	11	0.8182
chr20:7943159-7943159	38	0.9211	14	0.9286
chr20:6912910-6912910	45	0.0000	10	0.0000
chr20:7153122-7153122	39	0.0000	24	0.0000
chr20:9934616-9934616	67	0.1493	20	0.3500
chr20:7385751-7385751	49	0.2857	23	0.4783
chr20:7440661-7440661	55	0.0000	19	0.0000
chr20:6556565-6556565	28	0.1786	17	0.2941
chr20:6187513-6187513	27	0.1481	14	0.0714
chr20:9895492-9895492	35	0.0571	12	0.1667
chr20:8118924-8118924	62	0.3871	7	0.5714
chr20:8111612-8111612	28	0.5000	12	0.5000
chr20:8815449-8815449	34	0.0294	15	0.0000
chr20:6162930-6162930	29	0.1379	23	0.1304
chr20:7976078-7976078	42	0.9762	15	0.6667
chr20:8162882-8162882	59	0.0339	14	0.3571
chr20:7976378-7976378	19	0.8947	12	0.9167
chr20:8539141-8539141	47	0.7021	20	0.6500
chr20:7158736-7158736	15	0.2667	20	0.1500
chr20:8224405-8224405	53	0.6981	16	0.8125
chr20:7388894-7388894	28	0.0714	27	0.0370
chr20:9207007-9207007	25	0.0400	17	0.4706
chr20:9459132-9459132	20	0.7500	14	0.4286
chr20:9234038-9234038	49	0.2245	12	0.2500
chr20:6486386-6486386	25	0.8000	8	0.7500
chr20:8741878-8741878	71	0.2535	15	0.3333
chr20:7469403-7469403	55	0.0182	17	0.0000
chr20:9709630-9709630	44	0.0000	11	0.0909
chr20:9579425-9579425	36	0.6944	17	0.7647
chr20:9863525-9863525	46	0.0435	9	0.0000
chr20:7296180-7296180	13	0.1538	19	0.1053
chr20:7667371-7667371	41	0.4634	23	0.6522
chr20:8495355-8495355	10	1.0000	6	1.0000
chr20:8358361-8358361	19	0.7895	15	0.8000
chr20:9636505-9636505	52	0.4231	12	0.5833
chr20:9792900-9792900	34	0.3529	15	0.4667
chr20:9344429-9344429	39	0.0000	16	0.2500
chr20:9067977-9067977	16	0.0000	10	0.0000
chr20:8904997-8904997	29	0.6207	19	0.7895
chr20:9015218-9015218	65	0.0462	13	0.1538
chr20:6891925-6891925	21	0.2857	16	0.5625
chr20:8211372-8211372	42	0.7619	17	0.7059
chr20:9879044-9879044	45	0.0000	15	0.0667
chr20:7672810-7672810	31	0.4839	15	0.5333
chr20:9465160-9465160	53	0.3774	19	0.2632
chr20:7379276-7379276	16	0.0625	20	0.3500
chr20:7167080-7167080	42	0.3333	13	0.2308
chr20:9367190-9367190	56	0.0000	12	0.0000
chr20:8682447-8682447	32	1.0000	15	0.8000
chr20:8857026-8857026	25	0.4000	8	0.1250
chr20:9888930-9888930	46	0.5870	14	0.7143
chr20:6060449-6060449	32	0.0625	12	0.4167
chr20:6926005-6926005	28	0.0000	11	0.0000
chr20:9687266-9687266	33	0.5455	16	0.4375
chr20:6740464-6740464	41	0.0000	10	0.0000
chr20:8036149-8036149	52	0.3269	16	0.2500
chr20:8382320-8382320	1	1.0000	14	0.7857
chr20:8361479-8361479	31	0.0000	10	0.0000
chr20:8752186-8752186	48	0.5625	13	0.6923
chr20:8847895-8847895	44	0.0000	21	0.0952
chr20:8720760-8720760	43	0.7674	17	0.4706
chr20:8026345-8026345	40	0.8500	16	0.6875
chr20:9842402-9842402	7	0.7143	12	0.8333
chr20:8449704-8449704	24	0.3333	27	0.3333
chr20:6789276-6789276	41	0.8293	30	0.7333
chr20:8590420-8590420	49	0.1020	19	0.1053
chr20:9640757-9640757	14	1.0000	13	1.0000
chr20:6745205-6745205	42	0.5952	18	0.3889
chr20:6718782-6718782	17	0.1765	16	0.0625
chr20:7108781-7108781	46	0.0652	10	0.2000
chr20:8804493-8804493	66	0.0000	16	0.0625
chr20:6201234-6201234	27	0.0000	17	0.0000
chr20:8966700-8966700	68	0.0588	12	0.0833
chr20:7565804-7565804	24	0.1250	22	0.1818
chr20:8655218-8655218	53	0.7358	25	0.8800
chr20:9906450-9906450	27	0.6296	9	0.5556
chr20:9499390-9499390	29	0.4483	20	0.6000
chr20:6091929-6091929	18	0.2778	4	1.0000
chr20:6094285-6094285	47	0.0000	19	0.0526
chr20:8413305-8413305	65	0.3692	22	0.3636
chr20:7967474-7967474	28	0.0357	19	0.2632
chr20:8313998-8313998	69	0.4928	8	0.5000
chr20:8498179-8498179	31	0.4194	12	0.3333
chr20:9637403-9637403	52	0.0000	15	0.1333
chr20:9483502-9483502	59	0.3729	16	0.1875
chr20:9384582-9384582	41	0.8537	21	0.9524
chr20:6928406-6928406	37	0.4054	7	0.4286
chr20:9176386-9176386	43	0.6744	16	0.5000
chr20:7929889-7929889	34	0.2059	8	0.6250
chr20:7379344-7379344	31	0.1290	21	0.2857
chr20:7622600-7622600	13	0.3846	14	0.5714
chr20:6064659-6064659	41	0.2439	18	0.4444
chr20:8481026-8481026	29	0.2414	12	0.3333
chr20:7390144-7390144	34	0.1765	18	0.1111
chr20:6822147-6822147	17	0.1765	10	0.4000
chr20:9324418-9324418	28	0.5357	8	0.5000
chr20:6937123-6937123	28	0.2500	8	0.2500
chr20:9508893-9508893	15	0.1333	12	0.0833
chr20:7802079-7802079	45	0.1556	7	0.1429
chr20:7966868-7966868	65	0.5385	19	0.6316
chr20:9392699-9392699	28	0.3214	22	0.4545
chr20:7985685-7985685	52	0.9231	17	0.9412
chr20:8502160-8502160	76	0.2763	8	0.6250
chr20:7393118-7393118	28	0.0000	18	0.0000
chr20:6115267-6115267	68	0.1765	17	0.4118
chr20:9427823-9427823	24	0.1667	11	0.1818
chr20:9566113-9566113	25	0.0000	8	0.2500
chr20:9754635-9754635	54	0.4074	13	0.3846
chr20:6870037-6870037	35	0.0571	11	0.1818
chr20:7297228-7297228	47	0.0000	17	0.0000
chr20:7021323-7021323	23	0.0000	22	0.0909
chr20:6632305-6632305	38	0.1053	14	0.2143
chr20:6812628-6812628	30	0.3667	16	0.0625
chr20:7276667-7276667	42	0.0238	10	0.0000
chr20:8773539-8773539	49	0.0000	20	0.0500
chr20:6823736-6823736	33	0.4545	16	0.2500
chr20:7740026-7740026	36	0.3333	11	0.2727
chr20:7059050-7059050	28	0.4286	23	0.1739
chr20:8344612-8344612	35	0.2857	23	0.2609
chr20:9864395-9864395	65	0.0923	5	0.0000
chr20:8600149-8600149	4	1.0000	10	1.0000
chr20:6736664-6736664	16	0.2500	3	0.6667
chr20:8827662-8827662	56	0.3750	14	0.5000
chr20:7051945-7051945	49	0.6531	16	0.4375
chr20:6513914-6513914	32	0.1562	24	0.0833
chr20:6196788-6196788	33	0.0303	22	0.0455
chr20:8101780-8101780	64	0.5312	12	0.5000
chr20:9761294-9761294	40	0.0000	14	0.1429
chr20:6572430-6572430	59	0.8644	14	0.9286
chr20:7938227-7938227	36	0.1944	8	0.3750
chr20:9615334-9615334	39	0.2821	12	0.5000
chr20:6461949-6461949	49	0.4898	12	0.5000
chr20:6036760-6036760	53	0.9623	20	1.0000
chr20:8765476-8765476	59	0.0000	9	0.1111
chr20:7383848-7383848	25	0.7600	26	0.4615
chr20:9907329-9907329	16	0.6875	14	0.7857
chr20:8064324-8064324	60	0.0333	16	0.1250
chr20:6230789-6230789	46	0.6087	14	0.5714
chr20:9216377-9216377	10	0.6000	12	0.7500
chr20:9890101-9890101	36	0.0000	10	0.1000
chr20:7910311-7910311	58	0.0517	14	0.1429
chr20:6713287-6713287	34	0.8235	16	0.7500
chr20:6700888-6700888	43	0.0000	19	0.0526
chr20:8846553-8846553	40	0.0000	15	0.0000
chr20:7776192-7776192	45	0.0222	19	0.0526
chr20:7799207-7799207	49	0.3265	12	0.4167
chr20:6647609-6647609	26	0.0000	17	0.1765
chr20:6119235-6119235	19	0.4737	10	0.5000
chr20:8550126-8550126	41	0.0000	21	0.0000
chr20:6603624-6603624	61	0.2623	17	0.4706
chr20:8721223-8721223	46	0.0435	24	0.0417
chr20:7441143-7441143	55	0.5636	17	0.4706
chr20:9195355-9195355	27	0.9259	15	0.8667
chr20:9450612-9450612	9	0.0000	9	0.0000
chr20:8961641-8961641	37	0.6757	15	0.8000
chr20:8288624-8288624	26	0.0000	13	0.2308
chr20:6704729-6704729	24	0.0417	16	0.0625
chr20:7324081-7324081	43	0.0000	18	0.0000
chr20:9566816-9566816	34	0.0588	18	0.2778
chr20:9580286-9580286	17	0.9412	25	0.9600
chr20:9223546-9223546	10	0.0000	10	0.0000
chr20:9810297-9810297	24	0.0833	13	0.1538
chr20:8023462-8023462	56	0.1250	15	0.2000
chr20:8059296-8059296	24	0.7083	18	0.7222
chr20:6714968-6714968	17	0.4706	19	0.2632
chr20:8847560-8847560	16	0.3125	10	0.7000
chr20:9437530-9437530	75	0.1733	10	0.3000
chr20:8188669-8188669	62	0.0161	15	0.3333
chr20:9421015-9421015	42	0.1429	11	0.0000
chr20:8475537-8475537	55	0.2364	11	0.2727
chr20:7574030-7574030	44	0.5000	21	0.9048
chr20:9509387-9509387	24	0.2500	9	0.2222
chr20:7956608-7956608	24	0.2917	8	0.1250
chr20:9024972-9024972	28	0.7857	20	0.8000
chr20:8148423-8148423	37	0.0811	9	0.2222
chr20:8035486-8035486	34	0.3824	23	0.1304
chr20:6352232-6352232	30	0.0000	21	0.1429
chr20:8179023-8179023	40	0.1750	18	0.4444
chr20:6240557-6240557	41	0.3659	7	0.2857
chr20:6809382-6809382	26	0.6538	16	1.0000
chr20:9423704-9423704	32	0.0312	11	0.1818
chr20:8924406-8924406	38	0.0263	7	0.4286
chr20:7740297-7740297	36	0.0000	19	0.0526
chr20:8725072-8725072	45	0.4000	17	0.7059
chr20:7962759-7962759	11	0.3636	13	0.2308
chr20:7049772-7049772	69	0.1159	20	0.2500
chr20:8878487-8878487	34	0.3529	16	0.1875
chr20:6513902-6513902	32	0.0312	25	0.2000
chr20:9506608-9506608	21	0.0000	12	0.0000
